title,slug,outcome,avg_price,current_price,size,value_usd,cash_pnl,percent_pnl
Atlanta Braves vs. Arizona Diamondbacks: O/U 9.5,mlb-atl-ari-2026-04-05-total-9pt5,Over,0.47,0.0,471.69,228.76965,7.07535,3.1914893617021276
Magic vs. Pelicans: O/U 234.5,nba-orl-nop-2026-04-05-total-234pt5,Over,0.523976,0.0,388.77998,215.7728889,12.061510099519998,5.920881872452172
Wizards vs. Nets: O/U 230.5,nba-was-bkn-2026-04-05-total-230pt5,Over,0.5,0.0,423.02,209.3949,-2.1151,-1.0
Spread: Bucks (-6.5),nba-mem-mil-2026-04-05-spread-home-6pt5,Bucks,0.46,0.0,450.099195,209.296125675,2.250495974999994,1.0869565217391275
Spread: Timberwolves (-1.5),nba-cha-min-2026-04-05-spread-home-1pt5,Hornets,0.53306,0.0,369.438386,208.73268808999998,11.799862048839985,5.991820808164178
Clippers vs. Kings,nba-lac-sac-2026-04-05,Kings,0.14,0.0,1390.20289,201.57941904999998,6.951014449999958,3.57142857142855
Bruins vs. Flyers,nhl-bos-phi-2026-04-05,Bruins,0.42,0.0,447.551877,194.685066495,6.713278155000001,3.571428571428572
Wild vs. Red Wings,nhl-min-det-2026-04-05,Red Wings,0.46,0.0,410.87,191.05455,2.05435,1.0869565217391304
Spread: Rockets (-4.5),nba-hou-gsw-2026-04-05-spread-away-4pt5,Rockets,0.47,0.0,374.320173,177.80208217499998,1.8716008649999798,1.063829787234031
St. Louis Cardinals vs. Detroit Tigers: O/U 7.5,mlb-stl-det-2026-04-05-total-7pt5,Over,0.51,0.0,332.142887,171.053586805,1.6607144350000025,0.9803921568627465
Lakers vs. Mavericks: O/U 232.5,nba-lal-dal-2026-04-05-total-232pt5,Over,0.49,0.0,329.817,164.9085,3.29817,2.0408163265306123
Bucharest Open: Mariano Navone vs Daniel Merida Aguilar,atp-navone-aguilar-2026-04-05,Daniel Merida Aguilar,0.191678,0.0,622.008231,155.50205775,36.27676404838201,30.427070399315536
Wild vs. Red Wings: O/U 5.5,nhl-min-det-2026-04-05-total-5pt5,Over,0.549999,0.0,268.728665,147.80076575,0.00026872866499423983,0.000181818512393398
Suns vs. Bulls: O/U 235.5,nba-phx-chi-2026-04-05-total-235pt5,Over,0.554865,0.0,218.59111,126.7828438,5.494287549849987,4.529930703864893
Milwaukee Brewers vs. Kansas City Royals: O/U 8.5,mlb-mil-kc-2026-04-03-total-8pt5,Over,0.546792,0.0,122.040598,121.97957770100001,55.248755039384015,82.79345710983338
Rockets vs. Warriors: O/U 223.5,nba-hou-gsw-2026-04-05-total-223pt5,Under,0.45,0.0,262.727271,119.540908305,1.313636355000004,1.1111111111111147
Spread: Auburn Tigers (-5.5),cbb-tulsa-aubrn-2026-04-05-spread-home-5pt5,Tulsa Golden Hurricane,0.491791,0.0,233.511175,116.7555875,1.9168932355750055,1.6692050078183667
Spread: Boston Red Sox (-1.5),mlb-sd-bos-2026-04-05-spread-home-1pt5,Boston Red Sox,0.41,0.0,275.817456,115.84333151999999,2.7581745600000023,2.4390243902439046
Hornets vs. Timberwolves: O/U 226.5,nba-cha-min-2026-04-05-total-226pt5,Under,0.43,0.0,249.773506,111.14921017,3.7466025900000037,3.4883720930232593
Lakers vs. Mavericks: O/U 233.5,nba-lal-dal-2026-04-05-total-233pt5,Over,0.458767,0.0,221.193046,106.17266208,4.696591945718005,4.628275355463672
Spread: Chicago Cubs (-1.5),mlb-chc-cle-2026-04-04-spread-away-1pt5,Cleveland Guardians,0.57,0.0,168.803719,98.75017561499999,2.5320557849999963,2.6315789473684172
Los Angeles Dodgers vs. Washington Nationals: O/U 9.5,mlb-lad-wsh-2026-04-05-total-9pt5,Under,0.53562,0.0,175.34532,97.31665260000001,3.3981923016000093,3.6182368096785136
Hornets vs. Timberwolves,nba-cha-min-2026-04-05,Hornets,0.529092,0.0,166.72943,89.20024505,0.9850374724400044,1.116630000075606
Spread: New York Yankees (-1.5),mlb-mia-nyy-2026-04-05-spread-home-1pt5,Miami Marlins,0.45,0.0,193.43,88.01065,0.96715,1.1111111111111112
Clippers vs. Kings: O/U 229.5,nba-lac-sac-2026-04-05-total-229pt5,Under,0.49,0.0,159.316997,82.048253455,3.982924924999997,5.102040816326527
Rolex Monte Carlo Masters: Cameron Norrie vs Miomir Kecmanovic,atp-norrie-kecmano-2026-04-06,Miomir Kecmanovic,0.347534,0.0,325.500529,79.747629605,-33.374871240485994,-29.503300396507964
Grizzlies vs. Bucks: O/U 227.5,nba-mem-mil-2026-04-05-total-227pt5,Over,0.503527,0.0,148.04326,76.9824952,2.4387166219800114,3.2715226790221936
Rockets vs. Warriors: O/U 224.5,nba-hou-gsw-2026-04-05-total-224pt5,Under,0.47,0.0,154.593582,73.43195145,0.7729679100000113,1.0638297872340583
"Rolex Monte Carlo Masters, Qualification: Damir Dzumhur vs Alexander Blockx",atp-dzumhur-blockx-2026-04-05,Damir Dzumhur,0.321086,0.0,210.538885,71.5832209,3.9821324708900154,5.890633662009578
Spread: Thunder (-21.5),nba-uta-okc-2026-04-05-spread-home-21pt5,Thunder,0.53,0.0,120.4967,68.0806355,4.2173845,6.60377358490566
Suns vs. Bulls: O/U 237.5,nba-phx-chi-2026-04-05-total-237pt5,Over,0.53,0.0,112.191658,60.58349532,1.1219165799999982,1.8867924528301856
Spread: Celtics (-10.5),nba-tor-bos-2026-04-05-spread-home-10pt5,Celtics,0.468062,0.0,128.234873,59.629215945,-0.3926551811259985,-0.6541868384957523
Spread: Thunder (-20.5),nba-uta-okc-2026-04-05-spread-home-20pt5,Thunder,0.556731,0.0,97.718592,57.16537631999999,2.762406877247997,5.077676651740242
Clippers vs. Kings: O/U 231.5,nba-lac-sac-2026-04-05-total-231pt5,Under,0.54,0.0,98.62,54.24100000000001,0.9862000000000074,1.851851851851866
Oklahoma Sooners vs. West Virginia Mountaineers,cbb-okl-wvir-2026-04-05,Oklahoma Sooners,0.6,0.0,87.5015,53.8134225,1.3125225,2.5
Suns vs. Bulls: O/U 238.5,nba-phx-chi-2026-04-05-total-238pt5,Over,0.498334,0.0,99.190193,51.082949395,1.6531037565380038,3.3443433520490347
Clippers vs. Kings: O/U 230.5,nba-lac-sac-2026-04-05-total-230pt5,Under,0.51,0.0,94.60851,50.61555285,2.36521275,4.901960784313726
Clippers vs. Kings: O/U 229.5,nba-lac-sac-2026-04-05-total-229pt5,Over,0.487682,0.0,94.21829,45.695870649999996,-0.2526934537800029,-0.549948532035226
St. Louis Cardinals vs. Detroit Tigers: O/U 7.5,mlb-stl-det-2026-04-05-total-7pt5,Under,0.47858,0.0,93.571832,45.38233852,0.6007311614399925,1.3414685110117262
Chicago Cubs vs. Cleveland Guardians: O/U 8.5,mlb-chc-cle-2026-04-04-total-8pt5,Over,0.420275,0.0,108.937915,45.209234725,-0.5746475016250014,-1.2551305692701238
Spread: Cavaliers (-17.5),nba-ind-cle-2026-04-05-spread-home-17pt5,Cavaliers,0.46,0.0,93.3,44.3175,1.3995,3.260869565217391
